contractid,planid,fips,plan_type,partd,avg_enrollment,avg_eligibles,avg_enrolled,premium,premium_partc,premium_partd,rebate_partc,ma_rate,bid,avg_ffscost,partc_score
H0111,1,13219,Local PPO,Yes,23.666666666666668,7894.083333333333,3071.3333333333335,0,0,0,119.53,1011.23,820.8881922675026,9873.43188214512,3
H0111,1,13223,Local PPO,Yes,245.83333333333337,24155.75,12269.5,0,0,0,119.53,1027.65,820.8881922675026,10764.342578651922,3
H0111,1,13225,Local PPO,Yes,20.416666666666668,5697.916666666667,2719.25,0,0,0,119.53,1001.94,820.8881922675026,9792.002038009769,3
H0111,1,13227,Local PPO,Yes,32.166666666666664,9919.666666666666,4386.833333333333,0,0,0,119.53,1023.14,820.8881922675026,10240.106172807662,3
H0111,1,13229,Local PPO,Yes,16.727272727272727,4249.916666666667,1965.5833333333333,0,0,0,119.53,1038.84,820.8881922675026,11528.06742729198,3
H0111,1,13231,Local PPO,Yes,17.083333333333332,3747.1666666666665,1953.4166666666667,0,0,0,119.53,1029.98,820.8881922675026,9554.409712742052,3
H0111,1,13233,Local PPO,Yes,26.75,8938.75,4797.833333333333,0,0,0,119.53,1009.62,820.8881922675026,11116.773926044953,3
H0111,1,13235,Local PPO,Yes,12,2136.8333333333335,1000,0,0,0,119.53,1034.74,820.8881922675026,9782.924210862791,3
H0111,1,13237,Local PPO,Yes,16.666666666666668,6253.833333333333,3093.0833333333335,0,0,0,119.53,1028.42,820.8881922675026,10327.508851038692,3
H0111,1,13241,Local PPO,Yes,13,5461.083333333333,2238.0833333333335,0,0,0,119.53,1012.98,820.8881922675026,8788.056266454232,3
H0111,1,13245,Local PPO,Yes,391.9166666666667,38329.333333333336,20676.416666666668,0,0,0,119.53,1030.53,820.8881922675026,9544.121648841712,3
H0111,1,13247,Local PPO,Yes,88.08333333333333,16571.166666666668,9786.583333333334,0,0,0,119.53,1053.95,820.8881922675026,10126.460641024276,3
H0111,1,13251,Local PPO,Yes,19.75,3491.25,2062.25,0,0,0,119.53,1032.51,820.8881922675026,12142.1093473585,3
H0111,1,13255,Local PPO,Yes,64.08333333333333,15692,8837.25,0,0,0,119.53,1029.24,820.8881922675026,10342.258343534257,3
H0111,1,13259,Local PPO,Yes,11.909090909090908,1088.4166666666667,713.9166666666666,0,0,0,119.53,1056.1,820.8881922675026,11430.087762750529,3
H0111,1,13263,Local PPO,Yes,16.333333333333332,1702.25,1006,0,0,0,119.53,927.34,820.8881922675026,8651.65823301367,3
H0111,1,13267,Local PPO,Yes,11.666666666666666,4096.083333333333,2206.25,0,0,0,119.53,1035.1,820.8881922675026,9245.708893479528,3
H0111,1,13275,Local PPO,Yes,38.25,10575.916666666666,5433.75,0,0,0,119.53,1032.41,820.8881922675026,9594.218451221068,3
